2024-06-15T07:24:18Z, 984, 6114
2024-06-15T07:24:24Z, 984, 6114
2024-06-15T07:24:24Z, 1622, 5923
2024-06-15T07:24:52Z, 6573, 2327
2024-06-15T07:25:02Z, 8743, 2380
2024-06-15T07:25:12Z, 2804, 4966
2024-06-15T07:25:22Z, 3163, 11468
2024-06-15T07:25:32Z, 7866, 2528
2024-06-15T07:25:42Z, 7761, 2588
2024-06-15T07:25:52Z, 6651, 35624
2024-06-15T07:26:02Z, 5349, 1449
2024-06-15T07:26:12Z, 8089, 1317
2024-06-15T07:26:22Z, 5673, 4681
2024-06-15T07:26:32Z, 4706, 3232
2024-06-15T07:26:42Z, 4627, 6629
2024-06-15T07:26:52Z, 3836, 18958
2024-06-15T07:27:02Z, 71, 388518
2024-06-15T07:27:12Z, 109, 74852
2024-06-15T07:27:22Z, 18, 506217
2024-06-15T07:27:32Z, 117, 67750
2024-06-15T07:27:42Z, 27, 430766
2024-06-15T07:27:52Z, 28, 387615
2024-06-15T07:28:02Z, 18, 459970
2024-06-15T07:28:12Z, 13, 604990
2024-06-15T07:28:22Z, 1240, 7454
2024-06-15T07:28:32Z, 4471, 3065
2024-06-15T07:28:42Z, 3472, 1878
2024-06-15T07:28:52Z, 4607, 1794
2024-06-15T07:29:02Z, 9978, 921
2024-06-15T07:29:12Z, 4877, 3115
2024-06-15T07:29:22Z, 4364, 2621
2024-06-15T07:29:32Z, 4391, 3477
2024-06-15T07:29:42Z, 5091, 1822
2024-06-15T07:29:52Z, 5012, 2574
2024-06-15T07:30:02Z, 4787, 3676
2024-06-15T07:30:12Z, 6152, 1472
2024-06-15T07:30:22Z, 5694, 2561
2024-06-15T07:30:32Z, 4265, 7452
2024-06-15T07:30:42Z, 1651, 6961
2024-06-15T07:30:52Z, 2603, 4177
2024-06-15T07:31:02Z, 205, 165586
2024-06-15T07:31:12Z, 81, 163133
2024-06-15T07:31:22Z, 76, 141997
2024-06-15T07:31:32Z, 59, 177363
2024-06-15T07:31:42Z, 35, 289463
2024-06-15T07:31:52Z, 27, 398813
2024-06-15T07:32:02Z, 37, 320026
2024-06-15T07:32:12Z, 36, 334032
2024-06-15T07:32:22Z, 31, 399525
2024-06-15T07:32:32Z, 5, 389622
2024-06-15T07:32:42Z, 0, 389622
2024-06-15T07:32:52Z, 0, 389622
2024-06-15T07:32:52Z, 3051, 389622
2024-06-15T07:33:04Z, 4112, 3062
2024-06-15T07:33:14Z, 4167, 3962
2024-06-15T07:33:24Z, 4229, 2753
2024-06-15T07:33:34Z, 5158, 2942
2024-06-15T07:33:44Z, 7945, 2556
2024-06-15T07:33:54Z, 4853, 5105
2024-06-15T07:34:04Z, 3136, 1908
2024-06-15T07:34:14Z, 9523, 1113
2024-06-15T07:34:24Z, 9507, 1151
2024-06-15T07:34:34Z, 8228, 1019
2024-06-15T07:34:44Z, 7011, 753
2024-06-15T07:34:54Z, 10327, 1079
2024-06-15T07:35:04Z, 6745, 1746
2024-06-15T07:35:14Z, 9997, 1490
2024-06-15T07:35:24Z, 7847, 1800
2024-06-15T07:35:34Z, 5833, 954
2024-06-15T07:35:44Z, 7224, 4348
2024-06-15T07:35:54Z, 1457, 73308
2024-06-15T07:36:04Z, 5042, 1163
2024-06-15T07:36:14Z, 9209, 11375
2024-06-15T07:36:24Z, 3518, 5612
2024-06-15T07:36:34Z, 4519, 1786
2024-06-15T07:36:44Z, 5615, 9433
2024-06-15T07:36:54Z, 2815, 2726
2024-06-15T07:37:04Z, 1311, 14391
2024-06-15T07:37:14Z, 3346, 1977
2024-06-15T07:37:24Z, 5442, 2707
2024-06-15T07:37:34Z, 7624, 3011
2024-06-15T07:37:44Z, 4173, 5114
2024-06-15T07:37:54Z, 3210, 9530
2024-06-15T07:38:04Z, 6738, 7308
2024-06-15T07:38:14Z, 6110, 836
2024-06-15T07:38:24Z, 9366, 1536
2024-06-15T07:38:34Z, 9711, 1400
2024-06-15T07:38:44Z, 7739, 2128
2024-06-15T07:38:54Z, 6349, 1845
2024-06-15T07:39:04Z, 9123, 1217
